n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
70,0.690860939043002,0.34565728030295373,0.6865079365079365,0.6696896703423507,0.6760256755543586,0.6716146000384886,[379],[0.9978335499763489],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190]"
71,,,,,,,[1135],[0.9980093240737915],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379]"
72,,,,,,,[690],[0.9994990229606628],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135]"
73,,,,,,,[1071],[0.9994034171104431],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690]"
74,,,,,,,[684],[0.9959190487861633],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071]"
75,,,,,,,[1003],[0.989889919757843],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071, 684]"
76,,,,,,,[826],[0.9980765581130981],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071, 684, 1003]"
77,,,,,,,[596],[0.9979816675186157],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071, 684, 1003, 826]"
78,,,,,,,[688],[0.9827220439910889],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071, 684, 1003, 826, 596]"
79,,,,,,,[614],[0.9984749555587769],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625, 829, 1062, 823, 543, 879, 631, 562, 1262, 245, 1378, 1111, 1427, 1251, 96, 550, 0, 1269, 635, 775, 1506, 1207, 796, 27, 1307, 776, 1080, 306, 1296, 1109, 1134, 863, 478, 470, 883, 916, 471, 91, 742, 557, 746, 190, 379, 1135, 690, 1071, 684, 1003, 826, 596, 688]"
